"scenario","revision","run","temperature","cold_verification","timestamp_utc","endpoint","duration_ms","status","result_count","request_id","client_api_residual_ms","api_to_ml_ms","api_ml_transport_ms","ml_model_wait_ms","ml_embedding_ms","ml_db_connect_ms","ml_db_query_ms","ml_rerank_ms","ml_total_ms","gemini_ms","ml_model_load_ms","error_type"
"before-gemini-warm","benefit-api-pl2b-8577c94","1","warm","not_applicable","2026-07-21T13:27:09.4524071+00:00","/api/ask","2017.315","200","5","226ada0d-2a45-4525-9c3f-02769d4f63a2","145.13599999999997","769.705","16.763","0.487","42.284","480.686","228.911","0","752.942","1102.474","1179855.962",
"before-gemini-warm","benefit-api-pl2b-8577c94","2","warm","not_applicable","2026-07-21T13:27:11.1059368+00:00","/api/ask","1649.034","200","5","61673dc4-d818-4a4d-9f84-5d3ff2e4853b","21.24900000000025","753.439","15.837","0.006","57.976","449.865","229.142","0","737.602","874.346","1179855.962",
"before-gemini-warm","benefit-api-pl2b-8577c94","3","warm","not_applicable","2026-07-21T13:27:12.6266702+00:00","/api/ask","1520.503","200","5","c4220c04-86cb-4d48-b4a0-6bc13814ebc3","21.54599999999982","709.392","15.377","0.006","45.857","423.253","224.412","0","694.015","789.565","1179855.962",
