"scenario","revision","run","temperature","cold_verification","timestamp_utc","endpoint","duration_ms","status","result_count","request_id","client_api_residual_ms","api_to_ml_ms","api_ml_transport_ms","ml_model_wait_ms","ml_embedding_ms","ml_db_connect_ms","ml_db_query_ms","ml_rerank_ms","ml_total_ms","gemini_ms","ml_model_load_ms","error_type"
"after-local-only","benefit-api-pl2a-8577c94","1","cold_candidate","pending_revision_log","2026-07-21T13:32:13.7140668+00:00","/api/policies/recommend","37976.806","200","5","8fa204d0-e90e-468b-b142-b8f67fb7b28e","634.7249999999985","37342.081","631.125","31649.342","4252.29","573.037","234.789","0","36710.956",,"248122.99",
"after-local-only","benefit-api-pl2a-8577c94","2","warm","not_applicable","2026-07-21T13:32:14.5389545+00:00","/api/policies/recommend","819.747","200","5","4486ac70-ed86-44d2-b2d6-6ee5f51eb7e9","38.743999999999915","781.003","15.392","0.01","90.852","441.875","231.62","0","765.611",,"248122.99",
"after-local-only","benefit-api-pl2a-8577c94","3","warm","not_applicable","2026-07-21T13:32:15.3157917+00:00","/api/policies/recommend","776.566","200","5","ba0766b5-93ed-49bf-bb0a-c640791f8520","21.343000000000075","755.223","15.525","0.009","69.365","437.835","231.267","0","739.698",,"248122.99",
"after-local-only","benefit-api-pl2a-8577c94","4","warm","not_applicable","2026-07-21T13:32:16.1137271+00:00","/api/policies/recommend","797.727","200","5","85bd03b5-462c-428d-a88a-3791375b803f","25.076000000000022","772.651","16.03","0.01","83.113","440.691","231.831","0","756.621",,"248122.99",
"after-local-only","benefit-api-pl2a-8577c94","5","warm","not_applicable","2026-07-21T13:32:16.8637632+00:00","/api/policies/recommend","749.828","200","5","0a20c9d1-fa11-414b-b565-c36292ffd6c3","20.073999999999955","729.754","14.466","0.01","49.568","434.948","230.063","0","715.288",,"248122.99",
"after-local-only","benefit-api-pl2a-8577c94","6","warm","not_applicable","2026-07-21T13:32:17.6162765+00:00","/api/policies/recommend","752.328","200","5","85d06016-3975-47ce-b437-8a3383f36800","20.557000000000016","731.771","15.535","0.011","60.997","429.216","224.917","0","716.236",,"248122.99",
