timestamp_utc,round,mode,operations,total_ns,ns_per_operation
2026-07-21T16:45:50.033248400Z,1,enabled,50000,397344500,7946.890
2026-07-21T16:45:50.041773500Z,1,disabled,50000,7588300,151.766
2026-07-21T16:45:50.051812800Z,2,disabled,50000,9141200,182.824
2026-07-21T16:45:50.445828700Z,2,enabled,50000,394224400,7884.488
2026-07-21T16:45:50.945171400Z,3,enabled,50000,499025700,9980.514
2026-07-21T16:45:50.952687900Z,3,disabled,50000,7621500,152.430
2026-07-21T16:45:50.960192600Z,4,disabled,50000,7014600,140.292
2026-07-21T16:45:51.471079100Z,4,enabled,50000,510967200,10219.344
2026-07-21T16:45:51.967522600Z,5,enabled,50000,495859200,9917.184
2026-07-21T16:45:51.973578100Z,5,disabled,50000,6461600,129.232
2026-07-21T16:45:51.981616400Z,6,disabled,50000,7983400,159.668
2026-07-21T16:45:52.499343500Z,6,enabled,50000,517922400,10358.448
2026-07-21T16:45:52.999981200Z,7,enabled,50000,499776900,9995.538
2026-07-21T16:45:53.007496200Z,7,disabled,50000,8130600,162.612
2026-07-21T16:45:53.015523900Z,8,disabled,50000,7180500,143.610
2026-07-21T16:45:53.534164600Z,8,enabled,50000,518833400,10376.668
2026-07-21T16:45:53.968566500Z,9,enabled,50000,434066200,8681.324
2026-07-21T16:45:53.976586900Z,9,disabled,50000,7906500,158.130
