"scenario","revision","run","temperature","cold_verification","timestamp_utc","endpoint","duration_ms","status","result_count","request_id","client_api_residual_ms","api_to_ml_ms","api_ml_transport_ms","ml_model_wait_ms","ml_embedding_ms","ml_db_connect_ms","ml_db_query_ms","ml_rerank_ms","ml_total_ms","gemini_ms","ml_model_load_ms","error_type"
"before_gemini_warm","benefit-api-pl2b-0ba0aa4","1","warm","not_applicable","2026-07-21T19:36:04.9206766+00:00","/api/ask","2042.856","200","5","f2033e13-7fc7-43c0-a483-a438497df73c","206.79499999999985","808.937","24.316","0.015","116.042","436.906","230.773","0","784.621","1027.124","25766.568",
"before_gemini_warm","benefit-api-pl2b-0ba0aa4","2","warm","not_applicable","2026-07-21T19:36:06.5754918+00:00","/api/ask","1648.004","200","5","1d694393-5e6e-43ea-88a1-d0304eb243e2","26.875","790.138","21.175","0.013","95.692","440.085","232.412","0","768.963","830.991","25766.568",
