"scenario","revision","run","temperature","cold_verification","timestamp_utc","endpoint","duration_ms","status","result_count","request_id","client_api_residual_ms","api_to_ml_ms","api_ml_transport_ms","ml_model_wait_ms","ml_embedding_ms","ml_db_connect_ms","ml_db_query_ms","ml_rerank_ms","ml_total_ms","gemini_ms","ml_model_load_ms","error_type"
"before-warm","benefit-api-pl2b-8577c94","1","warm","not_applicable","2026-07-21T13:26:52.9962223+00:00","/api/policies/recommend","924.842","200","5","7eb9de2a-3f35-49bc-ba7d-613122e0cdce","182.962","741.88","29.492","0.011","40.46","436.148","235.277","0","712.388",,"1179855.962",
"before-warm","benefit-api-pl2b-8577c94","2","warm","not_applicable","2026-07-21T13:26:53.7531242+00:00","/api/policies/recommend","751.04","200","5","567ed952-072f-458c-a567-756d334bcfc8","24.52299999999991","726.517","18.206","0.01","46.754","429.227","231.693","0","708.311",,"1179855.962",
"before-warm","benefit-api-pl2b-8577c94","3","warm","not_applicable","2026-07-21T13:26:54.4780194+00:00","/api/policies/recommend","724.586","200","5","8a60f4c4-09b5-4633-9aec-07e5e73f8192","20.837999999999965","703.748","17.076","0.01","25.206","429.969","230.985","0","686.672",,"1179855.962",
"before-warm","benefit-api-pl2b-8577c94","4","warm","not_applicable","2026-07-21T13:26:55.2124063+00:00","/api/policies/recommend","734.178","200","5","090011ea-0ce4-4bcd-83ef-f9c14078b146","18.23199999999997","715.946","18.124","0.01","43.835","425.352","228.041","0","697.822",,"1179855.962",
"before-warm","benefit-api-pl2b-8577c94","5","warm","not_applicable","2026-07-21T13:26:55.9656768+00:00","/api/policies/recommend","753.072","200","5","ee6b6330-696d-4209-83f7-20b436fa23d0","21.696000000000026","731.376","17.674","0.011","40.844","440.601","231.74","0","713.702",,"1179855.962",
