"pair","before_duration_ms","after_duration_ms","delta_duration_ms","before_model_load_ms","after_model_load_ms","delta_model_load_ms","before_api_ml_transport_ms","after_api_ml_transport_ms","before_ml_embedding_ms","after_ml_embedding_ms","before_ml_db_connect_ms","after_ml_db_connect_ms","before_ml_db_query_ms","after_ml_db_query_ms"
"1","36902.532","37781.083","878.551","23970.425","21541.786","-2428.639","26615.032","25199.837","3516.38","5259.225","577.037","1147.606","394.917","984.007"
"2","36229.78","35820.86","-408.92","23804.688","22099.894","-1704.794","26299.981","25934.645","1639.416","3786.249","1539.135","534.806","979.18","363.343"
"3","39172.488","44274.4","5101.912","25772.472","30659.622","4887.15","28867.11","33820.907","2144.904","3604.873","1081.041","482.938","975.741","224.131"
"4","37678.16","42130.594","4452.434","24239.065","28763.193","4524.128","26962.727","31513.741","1883.366","3895.305","1125.793","482.619","977.615","222.552"
"5","38514.074","35891.678","-2622.396","25766.568","23092.88","-2673.688","28790.514","25646.361","1908.034","4333.549","1085.569","529.897","1058.662","233.552"
