"scenario","revision","run","temperature","cold_verification","timestamp_utc","endpoint","duration_ms","status","result_count","request_id","client_api_residual_ms","api_to_ml_ms","api_ml_transport_ms","ml_model_wait_ms","ml_embedding_ms","ml_db_connect_ms","ml_db_query_ms","ml_rerank_ms","ml_total_ms","gemini_ms","ml_model_load_ms","error_type"
"after-gemini-warm","benefit-api-pl2a-8577c94","1","warm","not_applicable","2026-07-21T13:33:42.2955746+00:00","/api/ask","2053.956","200","5","ebfb961d-755f-4890-ab94-674885009d66","158.04200000000014","779.317","21.94","0.011","95.834","433.08","227.426","0","757.377","1116.597","248122.99",
"after-gemini-warm","benefit-api-pl2a-8577c94","2","warm","not_applicable","2026-07-21T13:33:44.0394898+00:00","/api/ask","1738.418","200","5","cf91bed5-fcec-4c62-ad68-34852b56b586","31.450999999999794","782.109","16.814","0.012","94.311","437.852","232.304","0","765.295","924.858","248122.99",
"after-gemini-warm","benefit-api-pl2a-8577c94","3","warm","not_applicable","2026-07-21T13:33:45.8234459+00:00","/api/ask","1783.697","200","5","ba2fad2d-a466-46ab-baed-4a39a8c1a4ab","22.250999999999976","774.355","15.801","0.006","74.169","447.376","236.018","0","758.554","987.091","248122.99",
